,summary_text
52,<sos> 메뉴판 옆 카드 원두 선택 가능 블렌드 브라질 에오 피아 커피 맛 자체 로스 보임 밀크 카카오 설명 전체적 메뉴 하나하나 품질 중요 생각 좌석 지하 시간 목적 불편 있음 <end>
53,<sos> 메뉴판 옆 카드 원두 선택 가능 블렌드 브라질 에오 피아 커피 맛 자체 로스 보임 밀크 카카오 설명 전체적 메뉴 하나하나 품질 중요 생각 좌석 지하 시간 목적 불편 있음 <end>
54,<sos> 운영 커피 와플 <end>
55,<sos> 운영 커피 와플 <end>
56,<sos> 운영 커피 와플 <end>
57,<sos> 조용 술집 거리 고양이 <end>
58,<sos> 조용 술집 거리 고양이 <end>
59,<sos> 조용 술집 거리 고양이 <end>
60,<sos> 무 가격 대 음료 커피 외의 음료 가격 가게 내부 자리 한 정도 커피 약간 연유 돌체 라 떼 맛 아메리카 노 여 부담 가격 명이 맛 옆 카페 추천 <end>
61,<sos> 무 가격 대 음료 커피 외의 음료 가격 가게 내부 자리 한 정도 커피 약간 연유 돌체 라 떼 맛 아메리카 노 여 부담 가격 명이 맛 옆 카페 추천 <end>
62,<sos> 무 가격 대 음료 커피 외의 음료 가격 가게 내부 자리 한 정도 커피 약간 연유 돌체 라 떼 맛 아메리카 노 여 부담 가격 명이 맛 옆 카페 추천 <end>
63,<sos> 깔끔 인테리어 여심 저격 맛 평 타이 한데 맛 <end>
64,<sos> 깔끔 인테리어 여심 저격 맛 평 타이 한데 맛 <end>
65,<sos> 깔끔 인테리어 여심 저격 맛 평 타이 한데 맛 <end>
66,<sos> 건축가 오픈 카페 사실 자체 독특 곳 카페 평범 골목 빌딩 층 위치 사람 평일 낮 시간대 말 화이트 톤 테이블 꽃 사진 사진 사람 사람 미안 정도 커피 메뉴 독특 라 떼 메뉴 밖 커피 주문 시 자리 세팅 나무 받침 인상적 한 조각도 카페 옆 통유리 실제 건축 작업 분 보여 신기 특별 스토리 링 공간 매력적 담 <end>
67,<sos> 건축가 오픈 카페 사실 자체 독특 곳 카페 평범 골목 빌딩 층 위치 사람 평일 낮 시간대 말 화이트 톤 테이블 꽃 사진 사진 사람 사람 미안 정도 커피 메뉴 독특 라 떼 메뉴 밖 커피 주문 시 자리 세팅 나무 받침 인상적 한 조각도 카페 옆 통유리 실제 건축 작업 분 보여 신기 특별 스토리 링 공간 매력적 담 <end>
68,<sos> 건축가 오픈 카페 사실 자체 독특 곳 카페 평범 골목 빌딩 층 위치 사람 평일 낮 시간대 말 화이트 톤 테이블 꽃 사진 사진 사람 사람 미안 정도 커피 메뉴 독특 라 떼 메뉴 밖 커피 주문 시 자리 세팅 나무 받침 인상적 한 조각도 카페 옆 통유리 실제 건축 작업 분 보여 신기 특별 스토리 링 공간 매력적 담 <end>
69,<sos> 빵 본격적 커피 궁합 베이커리 카페 무엇 실패 차분 공간 <end>
70,<sos> 빵 본격적 커피 궁합 베이커리 카페 무엇 실패 차분 공간 <end>
71,<sos> 빵 본격적 커피 궁합 베이커리 카페 무엇 실패 차분 공간 <end>
72,<sos> 개인 카페 구석 곳 사장님 친절 가격 저렴 앞 테라스 자리 날씨 때 최고 사장님 요청 커피 찌꺼기 탈취제 쓰기 요긴 <end>
73,<sos> 개인 카페 구석 곳 사장님 친절 가격 저렴 앞 테라스 자리 날씨 때 최고 사장님 요청 커피 찌꺼기 탈취제 쓰기 요긴 <end>
74,<sos> 커피 계속 드립 사 원두 주문 <end>
75,<sos> 커피 계속 드립 사 원두 주문 <end>
76,<sos> 커피 계속 드립 사 원두 주문 <end>
77,<sos> 캐주얼 카페 맛 가격 대비 구성 조합 사 디 소스 진짜 여자 맛 메뉴 구성 다양 여럿 가족 모임 인테리어 분위기 가구 묵직 인상적 커피 향이 뒷맛 깔끔 호텔 고급 원두 사용 배달 전 단골 <end>
78,<sos> 캐주얼 카페 맛 가격 대비 구성 조합 사 디 소스 진짜 여자 맛 메뉴 구성 다양 여럿 가족 모임 인테리어 분위기 가구 묵직 인상적 커피 향이 뒷맛 깔끔 호텔 고급 원두 사용 배달 전 단골 <end>
79,<sos> 캐주얼 카페 맛 가격 대비 구성 조합 사 디 소스 진짜 여자 맛 메뉴 구성 다양 여럿 가족 모임 인테리어 분위기 가구 묵직 인상적 커피 향이 뒷맛 깔끔 호텔 고급 원두 사용 배달 전 단골 <end>
80,<sos> 가성 비 갑 암 역 앞 테이크 아웃 밀크 전 테이크 아웃 전문 장사 집 저렴 가격 다양 펄 선택 차 향기 집 차 종류 다양 무리수 메뉴 사람 평 그레이 밀크 오리지널 밀크 향이 진한 편 추천 펄 코코넛 기본 펄 인기 일부 메뉴 서 핫 주문 가능 생각 다양 자세 메뉴판 확인 내부 좌석 테이크 아웃 가능 본래 카드 결제 최근 가능 <end>
81,<sos> 가성 비 갑 암 역 앞 테이크 아웃 밀크 전 테이크 아웃 전문 장사 집 저렴 가격 다양 펄 선택 차 향기 집 차 종류 다양 무리수 메뉴 사람 평 그레이 밀크 오리지널 밀크 향이 진한 편 추천 펄 코코넛 기본 펄 인기 일부 메뉴 서 핫 주문 가능 생각 다양 자세 메뉴판 확인 내부 좌석 테이크 아웃 가능 본래 카드 결제 최근 가능 <end>
82,<sos> 가성 비 갑 암 역 앞 테이크 아웃 밀크 전 테이크 아웃 전문 장사 집 저렴 가격 다양 펄 선택 차 향기 집 차 종류 다양 무리수 메뉴 사람 평 그레이 밀크 오리지널 밀크 향이 진한 편 추천 펄 코코넛 기본 펄 인기 일부 메뉴 서 핫 주문 가능 생각 다양 자세 메뉴판 확인 내부 좌석 테이크 아웃 가능 본래 카드 결제 최근 가능 <end>
83,<sos> 프렌치 토스트 맛 집 가격 맛 용 복잡 카페 ㅎ <end>
84,<sos> 프렌치 토스트 맛 집 가격 맛 용 복잡 카페 ㅎ <end>
85,<sos> 프렌치 토스트 맛 집 가격 맛 용 복잡 카페 ㅎ <end>
86,<sos> 지하 홀 맛 평균 이상 요즘 유행 감성 카페 남 직원 불친절 갑진 <end>
87,<sos> 지하 홀 맛 평균 이상 요즘 유행 감성 카페 남 직원 불친절 갑진 <end>
88,<sos> 지하 홀 맛 평균 이상 요즘 유행 감성 카페 남 직원 불친절 갑진 <end>
89,<sos> 디지털 미디어 시역 근처 주차 가능 카페 사진 화이트 톤 깔끔 인테리어 음료 이벤트 베스트 메뉴 아메리카 노 증정 베스트 메뉴 딸기 얼 그레이 크림 밀크 베리 베리 요거트 두개 도장 두개 재 방문 나머지 리버스 슈페너 메뉴 디지털 미디어 시역 개인 카페 차 이즈 카페 종류별 분위기 카페 인테리어 고급 마음 주변 회사 회사원 주차 차 한잔 하기 카페 추천 <end>
90,<sos> 디지털 미디어 시역 근처 주차 가능 카페 사진 화이트 톤 깔끔 인테리어 음료 이벤트 베스트 메뉴 아메리카 노 증정 베스트 메뉴 딸기 얼 그레이 크림 밀크 베리 베리 요거트 두개 도장 두개 재 방문 나머지 리버스 슈페너 메뉴 디지털 미디어 시역 개인 카페 차 이즈 카페 종류별 분위기 카페 인테리어 고급 마음 주변 회사 회사원 주차 차 한잔 하기 카페 추천 <end>
91,<sos> 디지털 미디어 시역 근처 주차 가능 카페 사진 화이트 톤 깔끔 인테리어 음료 이벤트 베스트 메뉴 아메리카 노 증정 베스트 메뉴 딸기 얼 그레이 크림 밀크 베리 베리 요거트 두개 도장 두개 재 방문 나머지 리버스 슈페너 메뉴 디지털 미디어 시역 개인 카페 차 이즈 카페 종류별 분위기 카페 인테리어 고급 마음 주변 회사 회사원 주차 차 한잔 하기 카페 추천 <end>
92,<sos> 강서구 카페 커피 옆 유명 짬뽕 집 곳 가성 비 끝판 왕 카페 <end>
93,<sos> 강서구 카페 커피 옆 유명 짬뽕 집 곳 가성 비 끝판 왕 카페 <end>
94,<sos> 강서구 카페 커피 옆 유명 짬뽕 집 곳 가성 비 끝판 왕 카페 <end>
95,<sos> 조용 깔끔 레몬 차도 디저트 다양 치즈 케익 맛 독특 <end>
96,<sos> 조용 깔끔 레몬 차도 디저트 다양 치즈 케익 맛 독특 <end>
97,<sos> 조용 깔끔 레몬 차도 디저트 다양 치즈 케익 맛 독특 <end>
98,<sos> 분위기 커피 맛 집 메뉴 계속 방문 누 라 라 떼 추천 <end>
99,<sos> 분위기 커피 맛 집 메뉴 계속 방문 누 라 라 떼 추천 <end>
100,<sos> 분위기 커피 맛 집 메뉴 계속 방문 누 라 라 떼 추천 <end>
101,<sos> 메뉴 카페 자체 분위기 <end>
102,<sos> 메뉴 카페 자체 분위기 <end>
103,<sos> 메뉴 카페 자체 분위기 <end>
104,<sos> 서울역 맞은편 기차 때 정도 때 곳 성비 깔끔 카페 떼 맛 집 생각 밍밍 직원 분 친절 전체적 분위기 맘 만족 <end>
105,<sos> 서울역 맞은편 기차 때 정도 때 곳 성비 깔끔 카페 떼 맛 집 생각 밍밍 직원 분 친절 전체적 분위기 맘 만족 <end>
106,<sos> 서울역 맞은편 기차 때 정도 때 곳 성비 깔끔 카페 떼 맛 집 생각 밍밍 직원 분 친절 전체적 분위기 맘 만족 <end>
107,<sos> 이태원 앤 거리 카페 형태 층 협소 위 공간 시간 빈지 가구 음향 기기 공간 필름 카메라 사진 곳 커피 판매 술 판매 커피 판매 시간 방문 앤 쯤 방문 메리트 충분 곳 근처 앤 거리 구경 카페 커피 한잔 코스 추천 커피 <end>
108,<sos> 이태원 앤 거리 카페 형태 층 협소 위 공간 시간 빈지 가구 음향 기기 공간 필름 카메라 사진 곳 커피 판매 술 판매 커피 판매 시간 방문 앤 쯤 방문 메리트 충분 곳 근처 앤 거리 구경 카페 커피 한잔 코스 추천 커피 <end>
109,<sos> 이태원 앤 거리 카페 형태 층 협소 위 공간 시간 빈지 가구 음향 기기 공간 필름 카메라 사진 곳 커피 판매 술 판매 커피 판매 시간 방문 앤 쯤 방문 메리트 충분 곳 근처 앤 거리 구경 카페 커피 한잔 코스 추천 커피 <end>
110,<sos> 정도 카페 지역 주민 단골 카페 느낌 학원가 공부 청소년 비율 노트북 작업 사람 <end>
111,<sos> 정도 카페 지역 주민 단골 카페 느낌 학원가 공부 청소년 비율 노트북 작업 사람 <end>
112,<sos> 정도 카페 지역 주민 단골 카페 느낌 학원가 공부 청소년 비율 노트북 작업 사람 <end>
113,<sos> 심야 곳 카페 문 하나쯤 야심 밤 길 한복판 말 따뜻 커피 순간 오늘 지인 저녁 식사 후 바 맘 술 곳 한잔 술 주류 파 지인 주류 파인 배려 새벽 문 카페 기억 밤 까페 환 불빛 거리 와우 스터디 카페 유명 하다 말 시간 사람 노트북 앞 집중 모습 조용조 노 얘기 카페 안 그림 꽃 나무 조명 아래 깔끔 카페 고소한 풍미 카 노 시나몬 가루 때쯤 얘깃거리 시점 사람 새벽 소중 카페 기억 <end>
114,<sos> 심야 곳 카페 문 하나쯤 야심 밤 길 한복판 말 따뜻 커피 순간 오늘 지인 저녁 식사 후 바 맘 술 곳 한잔 술 주류 파 지인 주류 파인 배려 새벽 문 카페 기억 밤 까페 환 불빛 거리 와우 스터디 카페 유명 하다 말 시간 사람 노트북 앞 집중 모습 조용조 노 얘기 카페 안 그림 꽃 나무 조명 아래 깔끔 카페 고소한 풍미 카 노 시나몬 가루 때쯤 얘깃거리 시점 사람 새벽 소중 카페 기억 <end>
115,<sos> 심야 곳 카페 문 하나쯤 야심 밤 길 한복판 말 따뜻 커피 순간 오늘 지인 저녁 식사 후 바 맘 술 곳 한잔 술 주류 파 지인 주류 파인 배려 새벽 문 카페 기억 밤 까페 환 불빛 거리 와우 스터디 카페 유명 하다 말 시간 사람 노트북 앞 집중 모습 조용조 노 얘기 카페 안 그림 꽃 나무 조명 아래 깔끔 카페 고소한 풍미 카 노 시나몬 가루 때쯤 얘깃거리 시점 사람 새벽 소중 카페 기억 <end>
116,<sos> 가격 의아 음료 <end>
117,<sos> 가격 의아 음료 <end>
118,<sos> 가격 의아 음료 <end>
119,<sos> 공간 디저트 독특 디저트 평범 익숙 편안 맛 <end>
120,<sos> 공간 디저트 독특 디저트 평범 익숙 편안 맛 <end>
121,<sos> 공간 디저트 독특 디저트 평범 익숙 편안 맛 <end>
122,<sos> 따뜻 느낌 카페 류 열 케이크 독특 계속 <end>
123,<sos> 따뜻 느낌 카페 류 열 케이크 독특 계속 <end>
124,<sos> 따뜻 느낌 카페 류 열 케이크 독특 계속 <end>
125,<sos> 크림 느끼 때 청포 토 크림 딸기 크림 크림 맛 크레이프 고 리 타르트 지도 순삭 매장 검정 리트 <end>
126,<sos> 크림 느끼 때 청포 토 크림 딸기 크림 크림 맛 크레이프 고 리 타르트 지도 순삭 매장 검정 리트 <end>
127,<sos> 크림 느끼 때 청포 토 크림 딸기 크림 크림 맛 크레이프 고 리 타르트 지도 순삭 매장 검정 리트 <end>
128,<sos> 사진 가게 안 분위기 산뜻 따뜻 색감 배 경지 덕분 예 사진 <end>
129,<sos> 사진 가게 안 분위기 산뜻 따뜻 색감 배 경지 덕분 예 사진 <end>
130,<sos> 사진 가게 안 분위기 산뜻 따뜻 색감 배 경지 덕분 예 사진 <end>
131,<sos> 케이크 전반적 가격 대비 느낌 아메리카 노 <end>
132,<sos> 케이크 전반적 가격 대비 느낌 아메리카 노 <end>
133,<sos> 케이크 전반적 가격 대비 느낌 아메리카 노 <end>
134,<sos> 인 스타 유명 카페 포토 존 <end>
135,<sos> 인 스타 유명 카페 포토 존 <end>
136,<sos> 인 스타 유명 카페 포토 존 <end>
137,<sos> 총기 전시 판매 이색 카페 아재 커피 풍경 <end>
138,<sos> 총기 전시 판매 이색 카페 아재 커피 풍경 <end>
139,<sos> 총기 전시 판매 이색 카페 아재 커피 풍경 <end>
140,<sos> 무난 특별 시간 때 보세 <end>
141,<sos> 무난 특별 시간 때 보세 <end>
142,<sos> 무난 특별 시간 때 보세 <end>
143,<sos> 당산 위치 지하 공간 윗 파 룸 카페 보드 게임 지하 다트 포켓볼 <end>
144,<sos> 당산 위치 지하 공간 윗 파 룸 카페 보드 게임 지하 다트 포켓볼 <end>
145,<sos> 당산 위치 지하 공간 윗 파 룸 카페 보드 게임 지하 다트 포켓볼 <end>
146,<sos> 여 아파트 단지 카페 깔끔 아파트 단지 사람 사랑 카페 여 <end>
147,<sos> 여 아파트 단지 카페 깔끔 아파트 단지 사람 사랑 카페 여 <end>
148,<sos> 여 아파트 단지 카페 깔끔 아파트 단지 사람 사랑 카페 여 <end>
149,<sos> 조용 혼자 이것저것 카페 사장님 선곡 커피 <end>
150,<sos> 조용 혼자 이것저것 카페 사장님 선곡 커피 <end>
151,<sos> 조용 혼자 이것저것 카페 사장님 선곡 커피 <end>
152,<sos> 널찍 신한 자리 동네 카페 가격 무난 맛 무난 외부 방문 정도 동네 주민 훌륭 카페 <end>
153,<sos> 널찍 신한 자리 동네 카페 가격 무난 맛 무난 외부 방문 정도 동네 주민 훌륭 카페 <end>
154,<sos> 널찍 신한 자리 동네 카페 가격 무난 맛 무난 외부 방문 정도 동네 주민 훌륭 카페 <end>
155,<sos> 층 건물 모두 카페 운영 연 남동 카페 사장님 얘기 원래 장충동 인테리어 고급 캐주얼 공간 데이트 모임 무엇 커피 맛 비엔나 커피 강추 시 처 메뉴 <end>
156,<sos> 층 건물 모두 카페 운영 연 남동 카페 사장님 얘기 원래 장충동 인테리어 고급 캐주얼 공간 데이트 모임 무엇 커피 맛 비엔나 커피 강추 시 처 메뉴 <end>
157,<sos> 층 건물 모두 카페 운영 연 남동 카페 사장님 얘기 원래 장충동 인테리어 고급 캐주얼 공간 데이트 모임 무엇 커피 맛 비엔나 커피 강추 시 처 메뉴 <end>
158,<sos> 커피 술 판매 곳 내부 인테리어 마음 조용 코드 연결 가능 랩 탑 스마트 폰 충전 가능 커피 밀크 컵 가격대 내부 식물 일부 판매 중이 기도 책 조용 사색 필요 때 이야기 때 곳 <end>
159,<sos> 커피 술 판매 곳 내부 인테리어 마음 조용 코드 연결 가능 랩 탑 스마트 폰 충전 가능 커피 밀크 컵 가격대 내부 식물 일부 판매 중이 기도 책 조용 사색 필요 때 이야기 때 곳 <end>
160,<sos> 커피 술 판매 곳 내부 인테리어 마음 조용 코드 연결 가능 랩 탑 스마트 폰 충전 가능 커피 밀크 컵 가격대 내부 식물 일부 판매 중이 기도 책 조용 사색 필요 때 이야기 때 곳 <end>
161,<sos> 친구 남한 산성 식사 후 곳 커피 맛 빵 곳 엿 <end>
162,<sos> 친구 남한 산성 식사 후 곳 커피 맛 빵 곳 엿 <end>
163,<sos> 친구 남한 산성 식사 후 곳 커피 맛 빵 곳 엿 <end>
164,<sos> 천장 요즘 코로나 시기 거리 조용하 편안 쇼 파 자몽 에이드 난해 <end>
165,<sos> 천장 요즘 코로나 시기 거리 조용하 편안 쇼 파 자몽 에이드 난해 <end>
166,<sos> 천장 요즘 코로나 시기 거리 조용하 편안 쇼 파 자몽 에이드 난해 <end>
167,<sos> 가게 조용 음료 입구 내부 공간 회의 룸 공간 좌석 넉넉 민트 코 밀크 검색 라미 수 유명 하다 추기 카페 점 카페 분위기 조용 책읽기 노트북 공부 분 카페 카페 다행 생각 라미 수 와플 메뉴 종류 다음 <end>
168,<sos> 가게 조용 음료 입구 내부 공간 회의 룸 공간 좌석 넉넉 민트 코 밀크 검색 라미 수 유명 하다 추기 카페 점 카페 분위기 조용 책읽기 노트북 공부 분 카페 카페 다행 생각 라미 수 와플 메뉴 종류 다음 <end>
169,<sos> 가게 조용 음료 입구 내부 공간 회의 룸 공간 좌석 넉넉 민트 코 밀크 검색 라미 수 유명 하다 추기 카페 점 카페 분위기 조용 책읽기 노트북 공부 분 카페 카페 다행 생각 라미 수 와플 메뉴 종류 다음 <end>
170,<sos> 저녁 차 겸 점심 대비 저녁 한산 빵 종류 강세 카페 빵 종류 맛 사워 식사 빵 별 빵 음료 무난 난함 가격 매장 쾌적 빵 시 님 리 <end>
171,<sos> 저녁 차 겸 점심 대비 저녁 한산 빵 종류 강세 카페 빵 종류 맛 사워 식사 빵 별 빵 음료 무난 난함 가격 매장 쾌적 빵 시 님 리 <end>
172,<sos> 저녁 차 겸 점심 대비 저녁 한산 빵 종류 강세 카페 빵 종류 맛 사워 식사 빵 별 빵 음료 무난 난함 가격 매장 쾌적 빵 시 님 리 <end>
173,<sos> 지난달 굴 국밥 앞 위치 카페 연세 할머님 주시 커피 가게 크기 작지 전통 차 커피 다양 판매 하심 카운터 앞 다양 수입 담배 판매함 주변 직장인 저렴 커피 이용 담배 구매 커피맛 무난 할머님 바리 스타 자부심 건강 하심 <end>
